Summit,AWS Session ID,Session name,Abstract,Capacity,Session Date,Start Time,End Time,Session Duration,Session Topic,Session Tracks,Session Type,Session Level,Area of Interest,Target Roles,Industry,Sponsor,Total Speakers,AWS Speakers,External Speakers,Robotics [Session Topic],Networking [Session Topic],AI/ML [Session Topic],Architecture [Session Topic],Cloud Operations [Session Topic],Front-End Web & Mobile [Session Topic],Enterprise & Migration [Session Topic],Content Delivery [Session Topic],Business Applications [Session Topic],Hybrid Cloud [Session Topic],End-User Computing [Session Topic],Training & Certification [Session Topic],Analytics [Session Topic],Kubernetes [Session Topic],Compute [Session Topic],Internet of Things [Session Topic],Migration & Transfer [Session Topic],Serverless Containers and Functions [Session Topic],DevOps & Developer Productivity [Session Topic],Management & Governance [Session Topic],Database [Session Topic],Security/Identity/Compliance [Session Topic],Application Integration [Session Topic],Storage [Session Topic],Blockchain [Session Topic],Threat Detection & Incident Response [Area of Interest],Social Impact [Area of Interest],Customer Enablement [Area of Interest],Inclusion & Diversity [Area of Interest],Small and Midsize Business (SMB) [Area of Interest],Well-Architected Framework [Area of Interest],New to AWS [Area of Interest],Open Source [Area of Interest],Modernization [Area of Interest],Sustainability [Area of Interest],BuildOn.AWS  [Area of Interest],Identity & Access Management [Area of Interest],Customer Stories [Area of Interest],Open Data [Area of Interest],Event-Driven Architecture [Area of Interest],Digital Native Business (DNB) [Area of Interest],Governance/Risk/Compliance [Area of Interest],Resilience [Area of Interest],Application Security [Area of Interest],VMware [Area of Interest],GovCloud [Area of Interest],Network & Infrastructure Security [Area of Interest],Data Protection [Area of Interest],AWS Partners [Area of Interest],Business Intelligence [Area of Interest],Global Infrastructure [Area of Interest],Microsoft [Area of Interest],SAP [Area of Interest],AWS Marketplace [Area of Interest],Disaster Response & Recovery [Area of Interest],Independent Software Vendor (ISV) [Area of Interest],Workforce Development [Area of Interest],Oracle [Area of Interest],Edge Computing [Area of Interest],Startup [Area of Interest],SaaS [Area of Interest],Generative AI [Area of Interest],DeepRacer [Area of Interest],Price Performance [Area of Interest],Innovation on AWS [Area of Interest],Tech Explorer [Target Roles],Developer / Engineer [Target Roles],Data Engineer [Target Roles],IT Executive [Target Roles],IT Administrator [Target Roles],Data Scientist [Target Roles],DevOps Engineer [Target Roles],Venture Capitalist [Target Roles],Advisor / Consultant [Target Roles],Business Executive [Target Roles],System Administrator [Target Roles],Academic / Researcher [Target Roles],Press / Media Analyst [Target Roles],Student [Target Roles],Entrepreneur (Founder/Co-Founder) [Target Roles],Sales / Marketing [Target Roles],Cloud Security Specialist [Target Roles],Solution or Systems Architect [Target Roles],IT Professional or Technical Manager [Target Roles],Financial Services [Industry],Automotive [Industry],Telecommunications [Industry],Government [Industry],Travel & Hospitality [Industry],Manufacturing & Industrial [Industry],Healthcare [Industry],Media & Entertainment [Industry],Consumer Packaged Goods [Industry],Education [Industry],Advertising & Marketing [Industry],Retail [Industry],Sports [Industry],Mining & Minerals [Industry],Aerospace & Satellite [Industry],Life Sciences [Industry],Agriculture [Industry],Energy [Industry],Games [Industry],Nonprofit [Industry]
New York,ADM201,Accelerating privacy-enhanced collaboration across industries,"Join this session to learn more about how you can collaborate more easily and securely with your business partners to drive better insights while protecting underlying data. AWS Clean Rooms helps customers across industries solve for use cases such as enhancing insights, optimizing marketing and advertising experiences, improving reporting and measurement, and accelerating research and development. Hear about AWS Clean Rooms applications and innovation and how privacy-enhanced data collaboration helps organizations unlock business results.",250,7/26/23,1/1/00 16:00,1/1/00 17:00,60,"Security/Identity/Compliance,Analytics",,Breakout Session,200 - Intermediate,"Business Intelligence,Data Protection,Identity & Access Management","IT Executive,IT Professional or Technical Manager,Cloud Security Specialist","Advertising & Marketing,Media & Entertainment,Healthcare",0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
New York,AIM201,"Build with generative AI on AWS, featuring Anthropic","With generative AI on AWS, you can create entirely new customer experiences, drive unprecedented levels of productivity, and transform your business. Join this session to see how to use generative AI for a range of tasks such as code generation, chatbots, text generation, search, image generation, and personalization as well as key considerations for building the technology in a responsible way. Learn how you can choose from a range of popular foundation models, and dive deep on how to use Anthropic's Claude model on Amazon Bedrock. Learn how to apply AWS services that have generative AI built in, all running on a cost-effective cloud infrastructure for generative AI.",600,7/26/23,1/1/00 16:00,1/1/00 17:00,60,,AI/ML,Breakout Session,200 - Intermediate,Generative AI,,,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,AIM202,No-code ML using Amazon SageMaker Canvas image and text analysis,"A significant obstacle faced by companies during the implementation of machine learning (ML) strategies is the limited availability of resources such as ML practitioners, data scientists, and AI developers. Moreover, building an ML model can be a time-consuming and expensive process. Nevertheless, the latest functionalities of Amazon SageMaker Canvas ready-to-use models can empower business analysts to gain valuable insights without any specific ML expertise. In this builders' session, learn more about newly launched SageMaker Canvas features including sentiment analysis and text and object detection, and discover specific use cases for each feature. You must bring your laptop to participate.",40,7/26/23,1/1/00 16:15,1/1/00 17:15,60,,AI/ML,Builders' Session,200 - Intermediate,,,,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,AIM203,Transform responsible AI from theory into practice,"AI can make tasks easier, safer, and more efficient. However, as AI grows, challenges arise, often as a result of models' susceptibility to bias, adversarial attacks, hallucinations, and more. The field of responsible AI is working to prevent and mitigate these issues. In this chalk talk, learn about the ML lifecycle from ideation to model deployment, including emerging areas like generative AI, and critically consider what's needed to create responsible solutions from the ground up. This chalk talk offers hands-on support to guide you in applying best practices for developing generative AI responsibly.",100,7/26/23,1/1/00 9:45,1/1/00 10:45,60,,AI/ML,Chalk Talk,200 - Intermediate,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,AIM301,Boost data science teams' productivity using Amazon SageMaker Studio,"The ML journey is an iterative process that requires continuous experimentation and collaboration between teams at each step of the ML lifecycleâ€”from feature engineering and model training to debugging, deploying, and monitoring. In this builders' session, learn about Amazon SageMaker Studio, the latest feature announcements, and how SageMaker Studio can accelerate your entire ML workflow from a single unified interface.",40,7/26/23,1/1/00 14:45,1/1/00 15:45,60,,AI/ML,Builders' Session,300 - Advanced,,,,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,AIM302,Future-proof your contact centers with AWS generative AI & AI services,"Generative AI is changing the way companies deliver impactful customer experiences. Today's innovative solutions use a combination of AI services that can provide omnichannel self-service capabilities, assist agents with recommendations that resolve issues faster, and uncover real-time and post-call insights into customer conversations. Join this chalk talk to learn about architectures and best practices for addressing common issues when implementing AI-powered solutions in the contact center environment of your choice. Find out how AWS generative AI offerings are transforming interactions across the customer lifecycle, including enterprise search, digital sales, case deflection, agent effectiveness/productivity, and increased selling and renewals.",100,7/26/23,1/1/00 12:45,1/1/00 13:45,60,AI/ML,AI/ML,Chalk Talk,300 - Advanced,"Innovation on AWS,Generative AI",,,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,AIM303-R,How Equinox delivers personalized experiences with Amazon Personalize,"In this session, learn from Equinox how they customized the member experience in the Equinox+ app by recommending relevant, contextualized, on-demand classes that adjust according to changes in members' content consumption behavior. Dive deep into the current Amazon Personalize architecture and how Equinox gained valuable learnings from A/B testing, resulting in a substantial increase in engagement with their recommendation service. The session covers the latest use cases for personalization and how you can quickly build performant and scalable recommendation engines in a cost-effective manner.",600,7/26/23,1/1/00 13:30,1/1/00 14:30,60,AI/ML,AI/ML,Breakout Session,300 - Advanced,Well-Architected Framework,"Data Engineer,Data Scientist,Developer / Engineer",,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,AIM303-R1,How Equinox delivers personalized experiences with Amazon Personalize,"In this session, learn from Equinox how they customized the member experience in the Equinox+ app by recommending relevant, contextualized, on-demand classes that adjust according to changes in members' content consumption behavior. Dive deep into the current Amazon Personalize architecture and how Equinox gained valuable learnings from A/B testing, resulting in a substantial increase in engagement with their recommendation service. The session covers the latest use cases for personalization and how you can quickly build performant and scalable recommendation engines in a cost-effective manner.",250,7/26/23,1/1/00 16:15,1/1/00 17:15,60,AI/ML,AI/ML,Breakout Session,300 - Advanced,Well-Architected Framework,"Data Engineer,Data Scientist,Developer / Engineer",,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,AIM304-S,AWS GameDay hackathon: The new frontier (sponsored by Dynatrace),"AWS GameDay is a collaborative learning exercise that tests skills in implementing AWS solutions to solve real-world problems in a gamified, risk-free environment. This is a completely interactive opportunity for technical professionals to explore AWS services, architecture patterns, best practices, and group cooperation. You will be placed in teams of four to support our â€œfamousâ€ (fictitious) startup, Unicorn.Rentals, currently struggling to operate and keep up with the growing demand. You can expect a wide variety of technical challenges related to AI/ML, DevOps, IoT, and more. You must bring your laptop to participate. This presentation is brought to you by Dynatrace, an AWS Partner.",145,7/26/23,1/1/00 12:45,1/1/00 14:45,120,"AI/ML,Internet of Things,DevOps & Developer Productivity",Sponsor - AI/ML,Workshop,300 - Advanced,"Customer Enablement,Well-Architected Framework,Workforce Development","DevOps Engineer,IT Professional or Technical Manager,Solution or Systems Architect","Financial Services,Mining & Minerals,Aerospace & Satellite",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
New York,AIM305-S,AWS GameDay hackathon: The new frontier (sponsored by LaunchDarkly),"AWS GameDay is a collaborative learning exercise that tests skills in implementing AWS solutions to solve real-world problems in a gamified, risk-free environment. This is a completely interactive opportunity for technical professionals to explore AWS services, architecture patterns, best practices, and group cooperation. You will be placed in teams of four to support our â€œfamousâ€ (fictitious) startup, Unicorn.Rentals, currently struggling to operate and keep up with the growing demand. You can expect a wide variety of technical challenges related to AI/ML, DevOps, IoT, and more. You must bring your laptop to participate. This presentation is brought to you by LaunchDarkly, an AWS Partner.",145,7/26/23,1/1/00 15:15,1/1/00 17:15,120,"AI/ML,Internet of Things,DevOps & Developer Productivity",Sponsor - AI/ML,Workshop,300 - Advanced,"Customer Enablement,Well-Architected Framework,Workforce Development","DevOps Engineer,IT Professional or Technical Manager,Solution or Systems Architect","Financial Services,Mining & Minerals,Aerospace & Satellite",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
